username,followers_count
ThePoorClub,1445
NeuralsAI,1322
PrimaticClub,121
matchday,44569
DivineDogsNFT,4714
HighApesClubNFT,5199
ItsTheGreeks,5461
NodePunks,1680
deezkits,659
BoringProtocol,49322
PokerGallego,607
MizziNFT,133
funnyalienmen,29
artoflenses,40
Hogverse,296
solana_2022,416
Elementalsnft_,223
soccerdegens,53
DinoCnft,7
HighRollersClxb,5854
SolStars_NFT,3811
HubArni,246
AkeoLabs,12332
Lucy_Edgerunner,147
happyguysNFT,247
PeepoSports,469
solana_moose,788
ferdibdick,238
minipets_nft,145
KipzNFT,595
TheDabRite,263
ElixirNFT,39620
MonteCarlo1865,1835
KickSamsAss,100
SOLFATCLUB_NFT,42
FatalAirdropNFT,8333
zenznft,3
PlanetariumBots,18
SolWorldCup2022,37
CrankyFanatics,1127
OhanaLions,1460
CannaSolz,180
sorcery_inc,17
TheSasquatchnft,2018
AlphaWolves_Sol,7519
NA,4904
SpookyShow_NFT,4381
NeuromindArt,2677
RichMoggyNFT,4211
TheStonedFrogs,41278
MysterySkullNFT,11087
GoldenFightclub,1209
RoTTheGame,44002
FriedFrogsRV,8
UnrealWhales,4770
OGrareapepe,3008
8ingularitie8,64
NyxLabsNFT,2100
doodley00ts,39
BabyMonsterNFT,1327
SoulceryGames,2833
exoy00ts,106
FoneFanClub,1946
Only_WolvesNFT,2763
SammyAdams,136590
1000_sol,168
ValintVelmont,200
ChaneKesNFTs,837
breadheadnfts,16229
porkyisland,5287
CriminalGorilla,246
kidvm_,499
WorldCatNFT,863
MutantDogYC,713
WhisperingWhale,110
DeadFersNFT,684
UdderChaosSOL,10952
Metacresolution,5870
JGBsNFT,20
EdificeNFT,27
SolanaPClub,485
DropoutUniv,3218
HoodFellasNFTs,1425
pop_headz,14098
dinojumpnft,2307
chambaz,1696
goodmooddudes,5269
ImmortalsRIP,5272
solanapoors,38
de_skates,179
InfktedNFT,6082
goodapedao,29186
H1000sol,40
TurtleIslandNFT,5266
originalwaifuz,8089
TheNubisProject,2216
EoH_NFT,5958
_abbas_latifi_,220
AWPSONClub,786
BlobbySnakes,2
mankeybussiness,479
hobofrenz_,1267
yobiuniverse,7479
SCPokerClub,17028
sol9lives,1043
OmbStones,13
nft_lender,190
SlimeGoonsNFT,4118
MobilePhoneNFTs,18
Z_u_l_u_i_n_k,15569
DegenraffleSol,1686
TroggNFT,8067
MightyBrainNFT,599
AsoWorldCup22,48
doodlemferssol,83
_TheCelestials_,846
QU4Xnft,4691
OctoDudesNFT,296
TheCaveMember,176
NeoSolNFT,14534
schoolana_nft,371
OfficialCTitans,15201
DemonAliensNFT,407
Franklin_artt,2
TiwaiSOL,601
SkiMaskBoysNFT,1327
PoisonGangDDK,166
Zombominables,2198
TheNotsoOKBoys,244
otterland_nft,193
y00tsNFT,118769
ASICSamerica,97860
bearernft,118
ladbrokescomau,23940
degenwarriorss,7
BtaFighters,23
CCdegens,2668
SolanaGolf,125
fcked_catz,973
xiroverse,15210
GoblinRevoluti1,1294
DRIP_LAB_NFT,85
ProjectXen_,1434
Yess_Yaks,4864
artilitydao,530
MetaTattooClub,11766
galaxian_riders,14
SchizoGums,35
SpookySteads,1319
voodoocats_land,109
TheSpookyToons,49
Degen_Bulls,37
GothicWarlocks,115
RZMetaversity,388
anonymos1309,95
Official_JamesJ,6045
ArteOvniNFT,2151
culturehacker,8422
ikiiki_shop,1082
SolRockersNFT,15602
rockernft1,6179
classeemonkee,1494
thewagers44,8918
GametaHippo,79425
GemmyClub,8402
NonutnovNFT2,74
gloomycreatures,973
okaybears,120682
NecklesNeighbor,7924
HalloweenzParty,1
RealGodsNFT,449
GnarAF_DAO,3443
thebooproject,44
YellowAdams,177
TimeThiefNFT,1991
AptosAIO,3
zombiesNFT,9799
WalkMonkeyClub,145
FacadeNFT,6162
WomensCafeNFT,212
ProtoRealityGmz,48125
nftweirdos,1817
KeydaoSol,1
mohdvara95,176
bl4k4is3r,1131
Lata_world,94
__MIMW,56
humanoids_s,788
PadayonNFT,496
ZakiroNFT,38795
8bitnftminers,540
PumpkinPailz,1360
POKERFLIIP,38
GodsApto,55
D3g3nS0L_CITY,212
Ash_vickers_,645
SupernaturalNFT,1910
SolMasterChess1,770
communi3_io,95141
